New column 0,New column 1,New column 2,New column 3,New column 3 Url
"HP Ink Tank 516 Color Printer, Scanner, & Copier with High Capacity Tank for Home, B&W Prints at 10 Paise/Page*, Color Prints at 20 Paise/Page*, Compact, Easy Printing","15,998",4.0 out of 5 stars,"1,085",https://www.amazon.in/HP-516-Wireless-Integrated-Automatic/dp/B08S8KPW94/ref=sr_1_52?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356085&sprefix=hp+print%2Caps%2C595&sr=8-52#customerReviews
"HP MFP M128fw LaserJet Printer: Print, Copy, Scan, Automatic Document Feeder, WiFi direct, Ethernet, Fast Printing upto 20ppm, easy and secure setup, 3 year warranty","28,912",4.1 out of 5 stars,128,https://www.amazon.in/HP-MFP-M128fw-LaserJet-Printer/dp/B00MOFXSIA/ref=sr_1_53?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356085&sprefix=hp+print%2Caps%2C595&sr=8-53#customerReviews
"HP Deskjet Ink Advantage 2335 All-in-One Printer, Scanner and Copier for Home & w100 480P 30 FPS Digital Webcam with Built-in Mic, Plug and Play Setup, Wide-Angle View for Video Calling on Skype","4,698",3.7 out of 5 stars,"1,111",https://www.amazon.in/HP-Deskjet-Advantage-Printer-Wide-Angle/dp/B0BQY913TB/ref=sr_1_49?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356085&sprefix=hp+print%2Caps%2C595&sr=8-49#customerReviews
"HP Deskjet Ink Advantage 2778 All-in-One Printer, Scanner and Copier, B&W Prints at Rs. 1.65/Page*, Color Prints at Rs 5/Page* & 803 Small Ink Cartridge (Black) & 682 Black Original Ink Cartridge","8,069",3.8 out of 5 stars,"2,156",https://www.amazon.in/HP-Deskjet-Advantage-Cartridge-Original/dp/B0BBKMHXPV/ref=sr_1_50?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356085&sprefix=hp+print%2Caps%2C595&sr=8-50#customerReviews
"HP Deskjet Ink Advantage 4178 AIO Printer, Automatic Document Feeder, Copy, Scan & 682 Tri-Color Original Ink Cartridge, Compatible 2335, 2338,2776,2778,6075, 4178 Printer Models","8,460",3.8 out of 5 stars,"5,854",https://www.amazon.in/HP-Advantage-Automatic-Tri-Color-Compatible/dp/B0BK8MC4PN/ref=sr_1_51?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356085&sprefix=hp+print%2Caps%2C595&sr=8-51#customerReviews
"HP Laserjet MFP M233dw Printer: Print, Copy, Scan, Fastest Two-Sided Printing, Lightning Print Speed of 30ppm(Letter)/29ppm(A4), Self Reset Dual Band WiFi",,4.4 out of 5 stars,4,https://www.amazon.in/HP-Laserjet-MFP-M233dw-Printer/dp/B09NQ94MMM/ref=sr_1_52?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356085&sprefix=hp+print%2Caps%2C595&sr=8-52#customerReviews
HP Black/Tri-Color Printhead Kit 3YB06AA Deskjet 5800 Series,"1,859",4.1 out of 5 stars,"1,433",https://www.amazon.in/HP-2-Pack-Black-Tri-Color-Printhead/dp/B07J68SCNL/ref=sr_1_53?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356085&sprefix=hp+print%2Caps%2C595&sr=8-53#customerReviews
"HP Laserjet 3104fdw Duplex Printer: Print, Copy, Scan, Self Reset Dual Band WiFi with self heal, Ethernet, Fast Printing Upto 33ppm, Easy and Secure Setup",,,,
HP DeskJet 2778 All-in-One Ink Advantage Wireless Colour Printer 682 Black Ink & HP 682 Tricolor Ink Combo,"8,121",3.8 out of 5 stars,"2,156",https://www.amazon.in/HP-2778-Advantage-Wireless-Printer/dp/B08KG9DT6F/ref=sr_1_68?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356088&sprefix=hp+print%2Caps%2C595&sr=8-68#customerReviews
"HP Laserjet Tank 2606sdw Duplex Printer with ADF: Self Reset Dual Band WiFi, Smart Guided Buttons, (381U2A) & 158A Black Original Laserjet Toner Reload Kit",,,,
"HP Laserjet Tank 2606dn Duplex Printer for Home: Print+Copy+Scan, Mess-Free 15-Sec Toner Refill, Lowest Cost Per Page for B&W Prints, Smart Guided Buttons, Easy Mobile Printing","25,284",3.3 out of 5 stars,15,https://www.amazon.in/HP-Laserjet-2606dn-Duplex-Printer/dp/B09T3KM7Y1/ref=sr_1_65?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356088&sprefix=hp+print%2Caps%2C595&sr=8-65#customerReviews
HP DeskJet 2335 All-in-One Ink Advantage Colour Printer & HP 682 Black Ink & HP 682 Tricolor Ink Combo,"5,921",3.6 out of 5 stars,21,https://www.amazon.in/HP-DeskJet-2335-Advantage-Tricolor/dp/B08KGVHNTG/ref=sr_1_66?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356088&sprefix=hp+print%2Caps%2C595&sr=8-66#customerReviews
"(Renewed) HP Deskjet Ink Advantage 2723 All-in-One Printer, Scanner and Copier for Home/Home Office, B&W Prints at Rs. 6/Page*, Color Prints at Rs 8/Page*, Easy Mobile Printing, Affordable","5,099",2.2 out of 5 stars,11,https://www.amazon.in/Renewed-HP-Advantage-Printing-Affordable/dp/B0BB2X41CZ/ref=sr_1_67?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356088&sprefix=hp+print%2Caps%2C595&sr=8-67#customerReviews
"HP Laserjet 3004dw Duplex Printer: Black & White Printer, Self Reset Dual Band WiFi with self heal, Ethernet, Fast Printing Upto 33ppm, Easy and Secure Setup, Smart App Enabled",,,,
"HP Sprocket Portable 2x3"" Instant Photo Printer (Lilac) Print Pictures on Zink Sticky-Backed Paper from you","13,999",4.5 out of 5 stars,135,https://www.amazon.in/HP-Sprocket-Instant-Printer-1AS91A/dp/B07JM42QDX/ref=sr_1_69?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356088&sprefix=hp+print%2Caps%2C595&sr=8-69#customerReviews
"HP Laserjet Pro M1136 Printer, Print, Copy, Scan, Compact Design, Reliable, and Fast Printing","29,899",4.3 out of 5 stars,"3,485",https://www.amazon.in/HP-LaserJet-M1136-Multifunction-Monochrome/dp/B008HDF9NU/ref=sr_1_72?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356088&sprefix=hp+print%2Caps%2C595&sr=8-72#customerReviews
